startTime,call,completionItemsCount,isComplete,endTime,duration
1574600385644,this.sprayChunks.,78,false,1574600385651,7
1574600385651,ctx.restore.,78,false,1574600385659,8
1574600385659,this.sprayChunkPoints.,78,false,1574600385669,10
1574600385669,this.width.,78,false,1574600385673,4
1574600385673,this.density.,78,false,1574600385678,5
1574600385678,fabric.util.getRandomInt.,78,false,1574600385682,4
1574600385682,fabric.util.,78,false,1574600385686,4
1574600385687,pointer.x.,78,false,1574600385691,4
1574600385691,pointer.x.,78,false,1574600385696,5
1574600385696,fabric.util.getRandomInt.,78,false,1574600385702,6
1574600385702,fabric.util.,78,false,1574600385708,6
1574600385708,pointer.y.,78,false,1574600385713,5
1574600385713,pointer.y.,78,false,1574600385718,5
1574600385718,this.dotWidthVariance.,78,false,1574600385722,4
1574600385722,fabric.util.getRandomInt.,78,false,1574600385730,8
1574600385731,fabric.util.,78,false,1574600385737,6
1574600385737,Math.max.,103,false,1574600385747,10
1574600385747,this.dotWidth.,78,false,1574600385759,12
1574600385759,this.dotWidthVariance.,78,false,1574600385765,6
1574600385765,this.dotWidth.,78,false,1574600385771,6
1574600385771,this.dotWidthVariance.,78,false,1574600385775,4
1574600385775,this.dotWidth.,78,false,1574600385780,5
1574600385780,fabric.Point.,77,false,1574600385784,4
1574600385784,point.width.,78,false,1574600385789,5
1574600385790,this.randomOpacity.,78,false,1574600385794,4
1574600385794,point.opacity.,78,false,1574600385798,4
1574600385798,fabric.util.getRandomInt.,78,false,1574600385803,5
1574600385803,fabric.util.,78,false,1574600385807,4
1574600385807,this.sprayChunkPoints.push.,78,false,1574600385814,7
1574600385814,this.sprayChunkPoints.,78,false,1574600385823,9
1574600385824,this.sprayChunks.push.,78,false,1574600385841,17
1574600385841,this.sprayChunks.,78,false,1574600385858,17
1574600386045,fabric.util.getPointer.,402,false,1574600386238,193
1574600386238,fabric.util.,402,false,1574600386248,10
1574600386248,fabric.util.degreesToRadians.,402,false,1574600386257,9
1574600386257,fabric.util.,402,false,1574600386264,7
1574600386264,fabric.util.radiansToDegrees.,402,false,1574600386273,9
1574600386273,fabric.util.,402,false,1574600386279,6
1574600386279,Math.atan2.,421,false,1574600386287,8
1574600386287,Math.abs.,421,false,1574600386294,7
1574600386294,fabric.StaticCanvas.supports.,401,false,1574600386302,8
1574600386302,fabric.StaticCanvas.,402,false,1574600386310,8
1574600386310,fabric.Canvas.,402,false,1574600386317,7
1574600386317,fabric.util.createClass.,401,false,1574600386322,5
1574600386323,fabric.util.,402,false,1574600386328,5
1574600386328,fabric.StaticCanvas.,402,false,1574600386334,6
1574600386334,this.renderAndResetBound.,401,false,1574600386355,21
1574600386355,this.renderAndReset.bind.,402,false,1574600386366,11
1574600386366,this.renderAndReset.,401,false,1574600386372,6
1574600386372,this.requestRenderAllBound.,401,false,1574600386378,6
